Epoch 49/9999, Iters: 000300, loss: 53.2042, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 66/9999, Iters: 000400, loss: 46.1333, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 83/9999, Iters: 000500, loss: 41.2963, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 99/9999, Iters: 000600, loss: 34.9790, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 116/9999, Iters: 000700, loss: 30.4437, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 133/9999, Iters: 000800, loss: 28.2863, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 149/9999, Iters: 000900, loss: 23.7209, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 166/9999, Iters: 001000, loss: 21.3286, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 183/9999, Iters: 001100, loss: 19.0016, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 199/9999, Iters: 001200, loss: 16.3124, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 216/9999, Iters: 001300, loss: 15.3390, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 233/9999, Iters: 001400, loss: 14.3455, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 249/9999, Iters: 001500, loss: 11.4652, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 266/9999, Iters: 001600, loss: 10.9933, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 283/9999, Iters: 001700, loss: 9.2446, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 299/9999, Iters: 001800, loss: 8.9851, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 316/9999, Iters: 001900, loss: 8.1543, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 333/9999, Iters: 002000, loss: 8.2848, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 349/9999, Iters: 002100, loss: 7.5554, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 366/9999, Iters: 002200, loss: 7.1559, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 383/9999, Iters: 002300, loss: 5.1971, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 399/9999, Iters: 002400, loss: 6.0921, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 416/9999, Iters: 002500, loss: 5.5339, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 433/9999, Iters: 002600, loss: 5.7924, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 449/9999, Iters: 002700, loss: 5.2059, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 466/9999, Iters: 002800, loss: 4.9256, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 483/9999, Iters: 002900, loss: 3.0890, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 499/9999, Iters: 003000, loss: 3.8958, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 516/9999, Iters: 003100, loss: 3.1343, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 533/9999, Iters: 003200, loss: 2.8253, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 16/9999, Iters: 000100, loss: 5.3316, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 33/9999, Iters: 000200, loss: 3.5244, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 49/9999, Iters: 000300, loss: 2.4451, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 66/9999, Iters: 000400, loss: 1.9380, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 83/9999, Iters: 000500, loss: 1.4315, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 99/9999, Iters: 000600, loss: 1.1256, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 116/9999, Iters: 000700, loss: 0.9330, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 133/9999, Iters: 000800, loss: 0.7377, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 149/9999, Iters: 000900, loss: 0.6392, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 166/9999, Iters: 001000, loss: 0.5591, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 183/9999, Iters: 001100, loss: 0.4434, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 16/9999, Iters: 000100, loss: 5.6799, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 33/9999, Iters: 000200, loss: 3.9554, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 49/9999, Iters: 000300, loss: 2.4032, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 66/9999, Iters: 000400, loss: 1.8953, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 83/9999, Iters: 000500, loss: 1.7467, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 99/9999, Iters: 000600, loss: 1.1124, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 16/9999, Iters: 000100, loss: 5.7745, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 33/9999, Iters: 000200, loss: 3.7803, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 49/9999, Iters: 000300, loss: 2.5823, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 66/9999, Iters: 000400, loss: 2.0287, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 83/9999, Iters: 000500, loss: 1.5623, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 99/9999, Iters: 000600, loss: 1.0684, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 116/9999, Iters: 000700, loss: 1.0608, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 16/9999, Iters: 000100, loss: 6.1032, train_accuracy: 0.0078, time: 0.01 s/iter, learning rate: 0.001
Epoch 33/9999, Iters: 000200, loss: 3.8187, train_accuracy: 0.1172, time: 0.00 s/iter, learning rate: 0.001
Epoch 49/9999, Iters: 000300, loss: 2.6647, train_accuracy: 0.2232, time: 0.01 s/iter, learning rate: 0.001
Epoch 66/9999, Iters: 000400, loss: 1.9270, train_accuracy: 0.3281, time: 0.01 s/iter, learning rate: 0.001
Epoch 83/9999, Iters: 000500, loss: 1.4194, train_accuracy: 0.3594, time: 0.00 s/iter, learning rate: 0.001
Epoch 99/9999, Iters: 000600, loss: 1.0942, train_accuracy: 0.3393, time: 0.01 s/iter, learning rate: 0.001
Epoch 116/9999, Iters: 000700, loss: 0.9315, train_accuracy: 0.4688, time: 0.01 s/iter, learning rate: 0.001
Epoch 133/9999, Iters: 000800, loss: 0.7460, train_accuracy: 0.3984, time: 0.00 s/iter, learning rate: 0.001
Epoch 149/9999, Iters: 000900, loss: 0.6244, train_accuracy: 0.3929, time: 0.01 s/iter, learning rate: 0.001
Epoch 166/9999, Iters: 001000, loss: 0.5488, train_accuracy: 0.4922, time: 0.01 s/iter, learning rate: 0.001
Epoch 183/9999, Iters: 001100, loss: 0.4681, train_accuracy: 0.4219, time: 0.00 s/iter, learning rate: 0.001
Epoch 199/9999, Iters: 001200, loss: 0.3954, train_accuracy: 0.4286, time: 0.01 s/iter, learning rate: 0.001
Epoch 216/9999, Iters: 001300, loss: 0.3737, train_accuracy: 0.4688, time: 0.01 s/iter, learning rate: 0.001
Epoch 233/9999, Iters: 001400, loss: 0.3104, train_accuracy: 0.4062, time: 0.00 s/iter, learning rate: 0.001
Epoch 249/9999, Iters: 001500, loss: 0.2680, train_accuracy: 0.4464, time: 0.01 s/iter, learning rate: 0.001
Epoch 266/9999, Iters: 001600, loss: 0.2334, train_accuracy: 0.5000, time: 0.01 s/iter, learning rate: 0.001
Epoch 283/9999, Iters: 001700, loss: 0.2123, train_accuracy: 0.4297, time: 0.00 s/iter, learning rate: 0.001
Epoch 299/9999, Iters: 001800, loss: 0.1914, train_accuracy: 0.4554, time: 0.01 s/iter, learning rate: 0.001
Epoch 316/9999, Iters: 001900, loss: 0.1754, train_accuracy: 0.4766, time: 0.01 s/iter, learning rate: 0.001
Epoch 333/9999, Iters: 002000, loss: 0.1739, train_accuracy: 0.4062, time: 0.00 s/iter, learning rate: 0.001
Epoch 349/9999, Iters: 002100, loss: 0.1438, train_accuracy: 0.4732, time: 0.01 s/iter, learning rate: 0.001
Epoch 366/9999, Iters: 002200, loss: 0.1416, train_accuracy: 0.4922, time: 0.01 s/iter, learning rate: 0.001
Epoch 383/9999, Iters: 002300, loss: 0.1153, train_accuracy: 0.4375, time: 0.00 s/iter, learning rate: 0.001
Epoch 399/9999, Iters: 002400, loss: 0.1144, train_accuracy: 0.4821, time: 0.01 s/iter, learning rate: 0.001
Epoch 416/9999, Iters: 002500, loss: 0.1075, train_accuracy: 0.5156, time: 0.01 s/iter, learning rate: 0.001
Epoch 433/9999, Iters: 002600, loss: 0.0929, train_accuracy: 0.4609, time: 0.00 s/iter, learning rate: 0.001
Epoch 449/9999, Iters: 002700, loss: 0.0890, train_accuracy: 0.5268, time: 0.01 s/iter, learning rate: 0.001
Epoch 466/9999, Iters: 002800, loss: 0.0742, train_accuracy: 0.5156, time: 0.01 s/iter, learning rate: 0.001
Epoch 483/9999, Iters: 002900, loss: 0.0748, train_accuracy: 0.4609, time: 0.00 s/iter, learning rate: 0.001
Epoch 499/9999, Iters: 003000, loss: 0.0691, train_accuracy: 0.4643, time: 0.01 s/iter, learning rate: 0.001
Epoch 516/9999, Iters: 003100, loss: 0.0626, train_accuracy: 0.5156, time: 0.01 s/iter, learning rate: 0.001
Epoch 533/9999, Iters: 003200, loss: 0.0617, train_accuracy: 0.4766, time: 0.00 s/iter, learning rate: 0.001
Epoch 549/9999, Iters: 003300, loss: 0.0673, train_accuracy: 0.4911, time: 0.01 s/iter, learning rate: 0.001
Epoch 566/9999, Iters: 003400, loss: 0.0548, train_accuracy: 0.5391, time: 0.01 s/iter, learning rate: 0.001
Epoch 583/9999, Iters: 003500, loss: 0.0538, train_accuracy: 0.4453, time: 0.00 s/iter, learning rate: 0.001
Epoch 599/9999, Iters: 003600, loss: 0.0479, train_accuracy: 0.5000, time: 0.01 s/iter, learning rate: 0.001
Epoch 616/9999, Iters: 003700, loss: 0.0540, train_accuracy: 0.4766, time: 0.01 s/iter, learning rate: 0.001
Epoch 633/9999, Iters: 003800, loss: 0.0454, train_accuracy: 0.4453, time: 0.00 s/iter, learning rate: 0.001
Epoch 649/9999, Iters: 003900, loss: 0.0337, train_accuracy: 0.4911, time: 0.01 s/iter, learning rate: 0.001
Epoch 666/9999, Iters: 004000, loss: 0.0379, train_accuracy: 0.5312, time: 0.01 s/iter, learning rate: 0.001
Epoch 683/9999, Iters: 004100, loss: 0.0448, train_accuracy: 0.4688, time: 0.00 s/iter, learning rate: 0.001
Epoch 699/9999, Iters: 004200, loss: 0.0417, train_accuracy: 0.4911, time: 0.01 s/iter, learning rate: 0.001
Epoch 716/9999, Iters: 004300, loss: 0.0339, train_accuracy: 0.5156, time: 0.01 s/iter, learning rate: 0.001
Epoch 733/9999, Iters: 004400, loss: 0.0328, train_accuracy: 0.4688, time: 0.00 s/iter, learning rate: 0.001
Epoch 749/9999, Iters: 004500, loss: 0.0405, train_accuracy: 0.4732, time: 0.01 s/iter, learning rate: 0.001
Epoch 766/9999, Iters: 004600, loss: 0.0323, train_accuracy: 0.5469, time: 0.01 s/iter, learning rate: 0.001
Epoch 783/9999, Iters: 004700, loss: 0.0326, train_accuracy: 0.4531, time: 0.00 s/iter, learning rate: 0.001
Epoch 799/9999, Iters: 004800, loss: 0.0295, train_accuracy: 0.5000, time: 0.01 s/iter, learning rate: 0.001
Epoch 816/9999, Iters: 004900, loss: 0.0299, train_accuracy: 0.5156, time: 0.01 s/iter, learning rate: 0.001
Epoch 833/9999, Iters: 005000, loss: 0.0282, train_accuracy: 0.4531, time: 0.00 s/iter, learning rate: 0.001
Epoch 849/9999, Iters: 005100, loss: 0.0351, train_accuracy: 0.4732, time: 0.01 s/iter, learning rate: 0.001
Epoch 866/9999, Iters: 005200, loss: 0.1003, train_accuracy: 0.4453, time: 0.01 s/iter, learning rate: 0.001
Epoch 883/9999, Iters: 005300, loss: 0.0286, train_accuracy: 0.4141, time: 0.00 s/iter, learning rate: 0.001
Epoch 899/9999, Iters: 005400, loss: 0.0219, train_accuracy: 0.4821, time: 0.01 s/iter, learning rate: 0.001
Epoch 916/9999, Iters: 005500, loss: 0.0162, train_accuracy: 0.4844, time: 0.01 s/iter, learning rate: 0.001
Epoch 933/9999, Iters: 005600, loss: 0.0296, train_accuracy: 0.4141, time: 0.00 s/iter, learning rate: 0.001
Epoch 949/9999, Iters: 005700, loss: 0.0423, train_accuracy: 0.4375, time: 0.01 s/iter, learning rate: 0.001
Epoch 966/9999, Iters: 005800, loss: 0.0236, train_accuracy: 0.5000, time: 0.01 s/iter, learning rate: 0.001
Epoch 983/9999, Iters: 005900, loss: 0.0126, train_accuracy: 0.4219, time: 0.00 s/iter, learning rate: 0.001
Epoch 999/9999, Iters: 006000, loss: 0.0113, train_accuracy: 0.4375, time: 0.01 s/iter, learning rate: 0.001
Epoch 1016/9999, Iters: 006100, loss: 0.0104, train_accuracy: 0.5000, time: 0.01 s/iter, learning rate: 0.001
Epoch 1033/9999, Iters: 006200, loss: 0.0152, train_accuracy: 0.4297, time: 0.00 s/iter, learning rate: 0.001
Epoch 1049/9999, Iters: 006300, loss: 0.0177, train_accuracy: 0.4375, time: 0.01 s/iter, learning rate: 0.001
Epoch 1066/9999, Iters: 006400, loss: 0.0422, train_accuracy: 0.4375, time: 0.01 s/iter, learning rate: 0.001
Epoch 1083/9999, Iters: 006500, loss: 0.0133, train_accuracy: 0.4375, time: 0.00 s/iter, learning rate: 0.001
